source,target,type,voltage_kv,capacity_mva,length_km,reactance_pu,resistance_pu
IN-NR-HUB,IN-WR-HUB,national_backbone_765kv,765,6000,1142.98,0.400044,0.048473
IN-WR-HUB,IN-SR-HUB,national_backbone_765kv,765,6000,843.81,0.295334,0.078278
IN-SR-HUB,IN-ER-HUB,national_backbone_765kv,765,6000,1562.86,0.547,0.134379
IN-ER-HUB,IN-NER-HUB,national_backbone_765kv,765,6000,519.64,0.181876,0.032964
IN-NER-HUB,IN-NR-HUB,national_backbone_765kv,765,6000,1467.51,0.513628,0.07601
IN-AND-HUB,IN-SR-HUB,state_interconnect_400kv,400,500,1669.42,0.834711,0.151844
IN-C00001-SS,IN-C00011-SS,sub_transmission,132,63,0.72,0.0016,0.000373
IN-C00001-SS,IN-C00007-SS,sub_transmission,132,63,4.96,0.00794,0.002085
IN-AND-HUB,IN-C00001-SS,state_transmission_400kv,400,200,36.76,0.018378,0.003602
IN-C00002-SS,IN-C00004-SS,sub_transmission,132,63,41.06,0.065702,0.008636
IN-C00002-SS,IN-C00015-SS,sub_transmission,132,63,80.18,0.12829,0.024207
IN-AND-HUB,IN-C00002-SS,state_transmission_400kv,400,100,212.65,0.106327,0.031824
IN-C00003-SS,IN-C00009-SS,sub_transmission,132,63,5.84,0.009351,0.002013
IN-C00003-SS,IN-C00015-SS,sub_transmission,132,63,23.78,0.038043,0.011215
IN-AND-HUB,IN-C00003-SS,state_transmission_400kv,400,100,127.69,0.063845,0.017554
IN-C00004-SS,IN-C00015-SS,sub_transmission,132,63,39.85,0.063767,0.007784
IN-C00005-SS,IN-C00006-SS,sub_transmission,132,63,2.32,0.003709,0.000926
IN-C00005-SS,IN-C00011-SS,sub_transmission,132,63,7.19,0.011505,0.002792
IN-C00006-SS,IN-C00011-SS,sub_transmission,132,63,5.78,0.009253,0.002005
IN-C00007-SS,IN-C00011-SS,sub_transmission,132,63,4.4,0.007036,0.001182
IN-C00008-SS,IN-C00014-SS,sub_transmission,132,63,112.26,0.179618,0.042277
IN-C00008-SS,IN-C00016-SS,sub_transmission,132,63,272.77,0.436425,0.061134
IN-C00009-SS,IN-C00015-SS,sub_transmission,132,63,18.83,0.030125,0.005973
IN-C00010-SS,IN-C00013-SS,sub_transmission,132,63,50.54,0.080871,0.016309
IN-C00014-SS,IN-C00016-SS,sub_transmission,132,63,162.79,0.26047,0.075976
IN-C00001-SS,IN-C00001-TR01,transformer_connection,132,160,4.91,0.007856,0.001827
IN-C00001-TR01,IN-C00001-FD011,feeder,33,100,9.56,0.057389,0.012365
IN-C00001-GEN01,IN-C00001-SS,generator_connection,220,315,14.1,0.012688,0.003365
IN-AND-HUB-GEN,IN-AND-HUB,generator_connection,400,3000,1.0,0.0005,6.8e-05
IN-AND-HUB,IN-SR-HUB,state_interconnect_400kv,400,3150,448.5,0.22425,0.031986
IN-C00017-SS,IN-C00527-SS,sub_transmission,132,800,2.51,0.00401,0.000505
IN-C00017-SS,IN-C00341-SS,sub_transmission,132,800,8.72,0.013946,0.002545
IN-AND-HUB,IN-C00017-SS,state_transmission_400kv,400,1200,362.47,0.181236,0.049817
IN-C00018-SS,IN-C00860-SS,sub_transmission,132,800,3.11,0.004976,0.001292
IN-C00018-SS,IN-C00130-SS,sub_transmission,132,800,3.32,0.005308,0.001074
IN-AND-HUB,IN-C00018-SS,state_transmission_400kv,400,1200,70.63,0.035316,0.005003
IN-C00019-SS,IN-C00028-SS,sub_transmission,220,800,2.73,0.002456,0.000524
IN-C00019-SS,IN-C00260-SS,sub_transmission,132,800,8.05,0.012878,0.002277
IN-AND-HUB,IN-C00019-SS,state_transmission_400kv,400,1200,349.12,0.174561,0.021212
IN-C00020-SS,IN-C00715-SS,sub_transmission,132,500,7.29,0.011666,0.002816
IN-C00020-SS,IN-C00866-SS,sub_transmission,132,500,15.28,0.024444,0.004603
IN-AND-HUB,IN-C00020-SS,state_transmission_400kv,400,1200,46.36,0.023182,0.003202
IN-C00021-SS,IN-C00126-SS,sub_transmission,132,315,5.63,0.009004,0.001667
IN-C00021-SS,IN-C00548-SS,sub_transmission,132,315,5.66,0.009058,0.002492
IN-AND-HUB,IN-C00021-SS,state_transmission_400kv,400,800,169.26,0.08463,0.013006
IN-C00022-SS,IN-C00150-SS,sub_transmission,132,315,3.61,0.005772,0.000966
IN-C00022-SS,IN-C01029-SS,sub_transmission,132,315,6.35,0.010157,0.001711
IN-AND-HUB,IN-C00022-SS,state_transmission_400kv,400,800,264.73,0.132363,0.038721
