id,type,city,state,region,lat,lon,voltage_kv,label,capacity_mva,age_years,base_load_pct,voltage_pu,ambient_temp_c,demand_mw,gen_mw,population_served
IN-NR-HUB,substation,NR Regional Hub,-,NR,28.6,77.2,765,IN-NR-HUB,6000,8,30.9,0.982,31.9,0.0,0.0,
IN-WR-HUB,substation,WR Regional Hub,-,WR,19.1,72.9,765,IN-WR-HUB,6000,7,54.4,1.031,35.2,0.0,0.0,
IN-SR-HUB,substation,SR Regional Hub,-,SR,13.0,77.6,765,IN-SR-HUB,6000,28,31.1,0.967,31.6,0.0,0.0,
IN-ER-HUB,substation,ER Regional Hub,-,ER,22.6,88.4,765,IN-ER-HUB,6000,2,50.2,1.017,39.0,0.0,0.0,
IN-NER-HUB,substation,NER Regional Hub,-,NER,26.1,91.8,765,IN-NER-HUB,6000,27,37.9,1.007,37.7,0.0,0.0,
IN-AND-HUB,substation,Andaman and Nicobar State Hub,Andaman and Nicobar,SR,11.35847,92.86971,400,IN-AND-HUB,500,22,33.7,0.99,30.7,0.0,0.0,
IN-C00001-SS,substation,Port Blair,Andaman and Nicobar,SR,11.66613,92.74635,220,IN-C00001-SS,100,17,59.1,1.018,32.1,16.81,0.0,112050
IN-C00002-SS,substation,Diglipur,Andaman and Nicobar,SR,13.26667,93.0,132,IN-C00002-SS,40,25,32.8,0.983,34.2,25.73,0.0,42877
IN-C00003-SS,substation,Rangat,Andaman and Nicobar,SR,12.50595,92.9155,132,IN-C00003-SS,40,24,50.8,1.016,30.0,23.29,0.0,38824
IN-C00004-SS,substation,Māyābandar,Andaman and Nicobar,SR,12.90954,92.90348,132,IN-C00004-SS,25,15,57.8,1.039,35.3,14.35,0.0,23912
IN-C00005-SS,substation,Garacharma,Andaman and Nicobar,SR,11.61374,92.70358,132,IN-C00005-SS,25,7,43.7,0.996,33.8,8.65,0.0,14419
IN-C00006-SS,substation,Prothrapur,Andaman and Nicobar,SR,11.61797,92.72442,132,IN-C00006-SS,25,11,43.3,0.977,30.4,6.18,0.0,10308
IN-C00007-SS,substation,Bamboo Flat,Andaman and Nicobar,SR,11.7,92.71667,132,IN-C00007-SS,25,5,51.9,0.974,33.3,4.78,0.0,7962
IN-C00008-SS,substation,Campbell Bay,Andaman and Nicobar,SR,7.00832,93.89419,132,IN-C00008-SS,25,11,46.6,0.982,29.9,3.44,0.0,5736
IN-C00009-SS,substation,Bakultala,Andaman and Nicobar,SR,12.50399,92.8617,132,IN-C00009-SS,25,36,37.9,0.986,34.3,1.64,0.0,2741
IN-C00010-SS,substation,North Sentinel Island,Andaman and Nicobar,SR,11.55807,92.24548,132,IN-C00010-SS,25,4,38.2,0.963,30.6,0.3,0.0,500
IN-C00011-SS,substation,Aberdeen,Andaman and Nicobar,SR,11.6677,92.73997,132,IN-C00011-SS,25,18,32.4,1.033,32.3,0.3,0.0,500
IN-C00012-SS,substation,Adazig,Andaman and Nicobar,SR,12.25937,92.79804,132,IN-C00012-SS,25,21,37.7,1.0,34.8,0.3,0.0,500
IN-C00013-SS,substation,Alipur,Andaman and Nicobar,SR,11.73108,92.67466,132,IN-C00013-SS,25,30,35.1,0.971,33.4,0.3,0.0,500
IN-C00014-SS,substation,Anowa,Andaman and Nicobar,SR,7.96059,93.55597,132,IN-C00014-SS,25,35,39.5,1.007,30.6,0.3,0.0,500
IN-C00015-SS,substation,Arainj-laka-punga,Andaman and Nicobar,SR,12.59976,92.71864,132,IN-C00015-SS,25,26,43.0,1.04,30.6,0.3,0.0,500
IN-C00016-SS,substation,Arong,Andaman and Nicobar,SR,9.16667,92.71667,132,IN-C00016-SS,25,32,33.3,0.964,27.0,0.3,0.0,500
IN-C00001-TR01,transformer,Port Blair,Andaman and Nicobar,SR,11.70372,92.72269,33,IN-C00001-TR01,160,33,57.4,1.001,29.5,0.0,0.0,
IN-C00001-FD011,feeder,Port Blair,Andaman and Nicobar,SR,11.72422,92.72315,33,IN-C00001-FD011,100,13,35.5,1.021,32.2,67.23,0.0,
IN-C00001-GEN01,generator,Port Blair,Andaman and Nicobar,SR,11.54627,92.70415,220,IN-C00001-GEN01,315,2,34.0,0.989,34.7,0.0,238.14,
IN-AND-HUB-GEN,generator,Andaman and Nicobar Hub Generation,Andaman and Nicobar,SR,11.35847,92.86971,400,IN-AND-HUB-GEN,100,16,32.1,1.03,34.2,0.0,28.58,
IN-AND-HUB,substation,Andhra Pradesh State Hub,Andhra Pradesh,SR,15.88588,80.51024,400,IN-AND-HUB,5000,32,59.4,1.038,36.0,0.0,0.0,
IN-C00017-SS,substation,Rasapūdipalem,Andhra Pradesh,SR,17.73308,83.31622,220,IN-C00017-SS,2000,31,64.1,0.973,37.2,259.22,0.0,1728128
IN-C00018-SS,substation,Vijayawada,Andhra Pradesh,SR,16.50745,80.6466,220,IN-C00018-SS,1200,28,64.7,1.034,37.8,171.48,0.0,1143232
IN-C00019-SS,substation,Visakhapatnam,Andhra Pradesh,SR,17.68009,83.20161,220,IN-C00019-SS,1200,13,55.7,0.992,38.1,159.48,0.0,1063178
IN-C00020-SS,substation,Guntur,Andhra Pradesh,SR,16.29974,80.45729,220,IN-C00020-SS,800,24,45.8,1.001,33.9,100.51,0.0,670073
IN-C00021-SS,substation,Nellore,Andhra Pradesh,SR,14.44992,79.98697,220,IN-C00021-SS,500,15,32.3,0.962,34.9,82.14,0.0,547621
IN-C00022-SS,substation,Kurnool,Andhra Pradesh,SR,15.82887,78.03602,220,IN-C00022-SS,500,38,37.9,0.966,36.6,69.03,0.0,460184
IN-C00023-SS,substation,Kākināda,Andhra Pradesh,SR,16.96036,82.23809,220,IN-C00023-SS,500,15,32.4,0.963,35.6,57.63,0.0,384182
IN-C00024-SS,substation,Rajamahendravaram,Andhra Pradesh,SR,17.00517,81.77784,220,IN-C00024-SS,500,33,38.6,1.014,34.9,56.45,0.0,376333
IN-C00025-SS,substation,Kadapa,Andhra Pradesh,SR,14.47995,78.82346,220,IN-C00025-SS,315,9,56.0,1.031,35.1,51.73,0.0,344893
IN-C00026-SS,substation,Tirupati,Andhra Pradesh,SR,13.63551,79.41989,220,IN-C00026-SS,315,16,58.2,1.025,32.0,44.3,0.0,295323
IN-C00027-SS,substation,Anantapur,Andhra Pradesh,SR,14.67784,77.60813,220,IN-C00027-SS,315,7,53.7,0.988,34.3,40.07,0.0,267161
IN-C00028-SS,substation,Gajuwaka,Andhra Pradesh,SR,17.7,83.21667,220,IN-C00028-SS,315,4,54.2,1.039,34.7,38.84,0.0,258944
IN-C00029-SS,substation,Vizianagaram,Andhra Pradesh,SR,18.11692,83.41148,220,IN-C00029-SS,200,26,56.2,1.024,34.9,34.31,0.0,228720
IN-C00030-SS,substation,Eluru,Andhra Pradesh,SR,16.71311,81.10437,220,IN-C00030-SS,200,13,36.8,0.996,36.0,32.7,0.0,218020
IN-C00031-SS,substation,Nandyāl,Andhra Pradesh,SR,15.47799,78.4836,220,IN-C00031-SS,200,18,46.7,1.03,33.0,31.71,0.0,211424
