id,city,type,lat,lon,load_pct,voltage_pu,temperature_c,age_years,capacity_mva
DEL-SUBS-01,Delhi,substation,28.6557,77.0665,51.5,0.947,64.8,23,40
DEL-TRAN-02,Delhi,transformer,28.641,77.0685,40.6,0.948,58.1,19,100
DEL-FEED-03,Delhi,feeder,28.6787,77.2694,60.2,0.974,41.9,29,25
DEL-GENE-04,Delhi,generator,28.6915,77.1069,60.4,0.953,38.8,26,200
MUM-SUBS-01,Mumbai,substation,18.9567,72.8417,56.5,0.961,41.2,3,500
MUM-TRAN-02,Mumbai,transformer,19.0869,73.0196,57.7,0.986,69.5,21,200
MUM-FEED-03,Mumbai,feeder,19.0992,72.9391,37.7,0.947,42.5,4,100
MUM-GENE-04,Mumbai,generator,19.1859,72.8417,62.2,1.02,36.1,13,100
BEN-SUBS-01,Bengaluru,substation,13.0227,77.6551,76.0,0.929,59.7,19,100
BEN-TRAN-02,Bengaluru,transformer,12.8706,77.5584,94.4,0.997,55.8,23,200
BEN-FEED-03,Bengaluru,feeder,13.0745,77.6774,48.7,0.924,43.8,10,40
BEN-GENE-04,Bengaluru,generator,12.8849,77.7275,87.6,0.958,60.8,14,500
CHE-SUBS-01,Chennai,substation,12.9756,80.1626,79.7,0.985,65.4,15,315
CHE-TRAN-02,Chennai,transformer,13.0413,80.4199,43.3,0.979,65.8,29,40
CHE-FEED-03,Chennai,feeder,12.9786,80.1687,75.8,0.992,47.2,21,500
CHE-GENE-04,Chennai,generator,13.0914,80.412,86.6,0.921,64.0,23,160
KOL-SUBS-01,Kolkata,substation,22.6532,88.316,52.6,0.939,28.2,25,160
KOL-TRAN-02,Kolkata,transformer,22.7142,88.4425,65.5,0.933,59.3,28,100
KOL-FEED-03,Kolkata,feeder,22.4685,88.4427,67.4,1.013,54.5,2,200
KOL-GENE-04,Kolkata,generator,22.5692,88.2475,56.8,1.038,68.3,9,25
HYD-SUBS-01,Hyderabad,substation,17.3073,78.5069,39.7,1.008,68.8,26,63
HYD-TRAN-02,Hyderabad,transformer,17.2735,78.4793,68.0,0.952,71.6,15,100
HYD-FEED-03,Hyderabad,feeder,17.5137,78.5633,76.4,1.006,47.9,23,200
HYD-GENE-04,Hyderabad,generator,17.3664,78.492,42.3,0.947,44.9,20,100
