scenario_id,step,node_id,loading_pct,temp_c,voltage_pu_proxy,alive
IND-S00000,0,IN-WR-HUB,87.99,48.8,0.9892,1
IND-S00000,0,IN-MAD-HUB,85.25,48.97,0.9722,1
IND-S00000,0,IN-C07857-SS,84.66,45.18,0.9239,1
IND-S00000,0,IN-C07858-SS,84.66,45.62,0.9529,1
IND-S00000,0,IN-C07859-SS,84.66,53.1,0.9359,1
IND-S00000,0,IN-C07860-SS,84.66,47.97,0.9349,1
IND-S00000,0,IN-C07861-SS,85.07,49.12,0.9674,1
IND-S00000,0,IN-C07862-SS,85.25,46.2,0.9712,1
IND-S00000,0,IN-C07863-SS,85.19,50.92,0.9533,1
IND-S00000,0,IN-C07864-SS,85.2,51.88,0.9793,1
IND-S00000,0,IN-C07865-SS,85.18,48.85,0.9803,1
IND-S00000,0,IN-C07866-SS,85.18,44.88,0.9453,1
IND-S00000,0,IN-C07867-SS,85.18,49.45,0.9553,1
IND-S00000,0,IN-C07868-SS,66.1,54.52,1.0153,1
IND-S00000,0,IN-C07869-SS,84.66,46.55,0.9549,1
IND-S00000,0,IN-C07870-SS,84.66,47.58,0.9559,1
IND-S00000,0,IN-C07871-SS,84.66,51.72,0.9689,1
IND-S00000,0,IN-C07872-SS,84.66,46.2,0.9609,1
IND-S00000,0,IN-C07873-SS,84.66,50.65,0.9909,1
IND-S00000,0,IN-C07874-SS,84.66,49.58,0.9699,1
IND-S00000,0,IN-C07875-SS,84.66,49.6,0.9909,1
IND-S00000,0,IN-C07876-SS,84.66,51.38,0.9219,1
IND-S00000,0,IN-C07877-SS,84.66,47.52,0.9589,1
IND-S00000,0,IN-C07878-SS,84.66,48.72,0.9519,1
IND-S00000,0,IN-C07879-SS,84.66,42.42,0.9799,1
IND-S00000,0,IN-C07880-SS,84.66,48.0,0.9549,1
IND-S00000,0,IN-C07881-SS,84.66,49.18,0.9779,1
IND-S00000,0,IN-C07882-SS,84.43,48.55,0.9251,1
IND-S00000,0,IN-C07883-SS,84.66,43.68,0.9589,1
IND-S00000,0,IN-C07884-SS,84.66,43.45,0.9709,1
