scenario_id,source,target,edge_type,capacity_mva,reactance_pu,length_km,tripped_at_start
IND-S00000,IN-MAD-HUB,IN-WR-HUB,state_interconnect_400kv,3150.0,0.383884,767.77,0.0
IND-S00000,IN-MAD-HUB,IN-C07857-SS,state_transmission_400kv,1550.778174000147,0.143111,286.22,0.0
IND-S00000,IN-MAD-HUB,IN-C07858-SS,state_transmission_400kv,1200.0,0.057661,115.32,0.0
IND-S00000,IN-MAD-HUB,IN-C07859-SS,state_transmission_400kv,1200.0,0.084265,168.53,0.0
IND-S00000,IN-MAD-HUB,IN-C07860-SS,state_transmission_400kv,1200.0,0.139971,279.94,0.0
IND-S00000,IN-MAD-HUB,IN-C07861-SS,state_transmission_400kv,800.0,0.137758,275.52,0.0
IND-S00000,IN-MAD-HUB,IN-C07862-SS,state_transmission_400kv,896.0058840647382,0.132335,264.67,0.0
IND-S00000,IN-MAD-HUB,IN-C07863-SS,state_transmission_400kv,993.5099892545873,0.127458,254.92,0.0
IND-S00000,IN-MAD-HUB,IN-C07864-SS,state_transmission_400kv,967.8869783701826,0.131405,262.81,0.0
IND-S00000,IN-MAD-HUB,IN-C07865-SS,state_transmission_400kv,1007.5499902378431,0.017825,35.65,0.0
IND-S00000,IN-MAD-HUB,IN-C07866-SS,state_transmission_400kv,1004.6311467260847,0.173274,346.55,0.0
IND-S00000,IN-MAD-HUB,IN-C07867-SS,state_transmission_400kv,1005.7025983590078,0.152912,305.82,0.0
IND-S00000,IN-C07868-SS,IN-C08800-SS,sub_transmission,160.0,0.005999,3.75,0.0
IND-S00000,IN-C07868-SS,IN-C08882-SS,sub_transmission,160.0,0.013077,8.17,0.0
IND-S00000,IN-MAD-HUB,IN-C07868-SS,state_transmission_400kv,1087.7996771923004,0.101015,202.03,0.0
IND-S00000,IN-MAD-HUB,IN-C07869-SS,state_transmission_400kv,320.72165079551246,0.218189,436.38,0.0
IND-S00000,IN-MAD-HUB,IN-C07870-SS,state_transmission_400kv,352.40400917743347,0.174806,349.61,0.0
IND-S00000,IN-MAD-HUB,IN-C07871-SS,state_transmission_400kv,315.0,0.149321,298.64,0.0
IND-S00000,IN-MAD-HUB,IN-C07872-SS,state_transmission_400kv,317.2116429379799,0.155834,311.67,0.0
IND-S00000,IN-MAD-HUB,IN-C07873-SS,state_transmission_400kv,315.0,0.1593,318.6,0.0
IND-S00000,IN-MAD-HUB,IN-C07874-SS,state_transmission_400kv,343.0563294939142,0.075937,151.87,0.0
IND-S00000,IN-MAD-HUB,IN-C07875-SS,state_transmission_400kv,275.1840115934793,0.101959,203.92,0.0
IND-S00000,IN-MAD-HUB,IN-C07876-SS,state_transmission_400kv,259.7030579174957,0.096404,192.81,0.0
IND-S00000,IN-MAD-HUB,IN-C07877-SS,state_transmission_400kv,217.17663694896623,0.032521,65.04,0.0
IND-S00000,IN-MAD-HUB,IN-C07878-SS,state_transmission_400kv,200.0,0.089288,178.58,0.0
IND-S00000,IN-MAD-HUB,IN-C07879-SS,state_transmission_400kv,246.88232410341809,0.171026,342.05,0.0
IND-S00000,IN-MAD-HUB,IN-C07880-SS,state_transmission_400kv,209.4915864409989,0.052733,105.47,0.0
IND-S00000,IN-MAD-HUB,IN-C07881-SS,state_transmission_400kv,245.96528049090296,0.15215,304.3,0.0
