source,target,type,capacity_mva
DEL-SUBS-01,DEL-TRAN-02,feeder,25
DEL-TRAN-02,DEL-FEED-03,feeder,10
DEL-FEED-03,DEL-GENE-04,feeder,10
MUM-SUBS-01,MUM-TRAN-02,feeder,10
MUM-TRAN-02,MUM-FEED-03,feeder,25
MUM-FEED-03,MUM-GENE-04,feeder,10
BEN-SUBS-01,BEN-TRAN-02,feeder,10
BEN-TRAN-02,BEN-FEED-03,feeder,40
BEN-FEED-03,BEN-GENE-04,feeder,10
CHE-SUBS-01,CHE-TRAN-02,feeder,25
CHE-TRAN-02,CHE-FEED-03,feeder,40
CHE-FEED-03,CHE-GENE-04,feeder,63
KOL-SUBS-01,KOL-TRAN-02,feeder,25
KOL-TRAN-02,KOL-FEED-03,feeder,25
KOL-FEED-03,KOL-GENE-04,feeder,63
HYD-SUBS-01,HYD-TRAN-02,feeder,25
HYD-TRAN-02,HYD-FEED-03,feeder,63
HYD-FEED-03,HYD-GENE-04,feeder,63
DEL-SUBS-01,MUM-SUBS-01,transmission_backbone,315
MUM-SUBS-01,BEN-SUBS-01,transmission_backbone,315
BEN-SUBS-01,CHE-SUBS-01,transmission_backbone,315
CHE-SUBS-01,KOL-SUBS-01,transmission_backbone,500
KOL-SUBS-01,HYD-SUBS-01,transmission_backbone,500
