asset_id,asset_class,city,state,region,lat,lon,voltage_kv,capacity_mva,age_years,base_load_pct,voltage_pu,ambient_temp_c,transformer_bank_id,breaker_state,protection_relay,power_factor_nominal,health_index,dga_hydrogen_ppm,dga_acetylene_ppm,last_inspection_date,maintenance_priority
IN-NR-HUB,substation,NR Regional Hub,-,NR,28.6,77.2,765,6000,8,30.9,0.982,31.9,,CLOSED,50/51 Overcurrent,0.926,88.5,24.0,4.8,2026-06-11,ROUTINE
IN-WR-HUB,substation,WR Regional Hub,-,WR,19.1,72.9,765,6000,7,54.4,1.031,35.2,,CLOSED,50/51 Overcurrent,0.949,90.0,17.1,1.5,2025-12-05,ROUTINE
IN-SR-HUB,substation,SR Regional Hub,-,SR,13.0,77.6,765,6000,28,31.1,0.967,31.6,,CLOSED,50/51 Overcurrent,0.958,78.9,14.4,7.5,2025-05-03,ROUTINE
IN-ER-HUB,substation,ER Regional Hub,-,ER,22.6,88.4,765,6000,2,50.2,1.017,39.0,,CLOSED,50/51 Overcurrent,0.948,99.0,12.9,2.2,2026-05-26,ROUTINE
IN-NER-HUB,substation,NER Regional Hub,-,NER,26.1,91.8,765,6000,27,37.9,1.007,37.7,,CLOSED,50/51 Overcurrent,0.941,67.1,20.9,1.3,2026-03-08,MEDIUM
IN-AND-HUB,substation,Andaman and Nicobar State Hub,Andaman and Nicobar,SR,11.35847,92.86971,400,500,22,33.7,0.99,30.7,,CLOSED,50/51 Overcurrent,0.941,74.3,5.0,3.4,2026-03-26,MEDIUM
IN-C00001-SS,substation,Port Blair,Andaman and Nicobar,SR,11.66613,92.74635,220,100,17,59.1,1.018,32.1,,CLOSED,50/51 Overcurrent,0.971,82.2,9.2,14.0,2026-06-04,ROUTINE
IN-C00002-SS,substation,Diglipur,Andaman and Nicobar,SR,13.26667,93.0,132,40,25,32.8,0.983,34.2,,CLOSED,50/51 Overcurrent,0.97,69.1,16.5,13.4,2025-02-04,MEDIUM
IN-C00003-SS,substation,Rangat,Andaman and Nicobar,SR,12.50595,92.9155,132,40,24,50.8,1.016,30.0,,CLOSED,50/51 Overcurrent,0.965,74.3,9.2,3.5,2026-04-27,MEDIUM
IN-C00004-SS,substation,Māyābandar,Andaman and Nicobar,SR,12.90954,92.90348,132,25,15,57.8,1.039,35.3,,CLOSED,50/51 Overcurrent,0.981,81.1,16.1,3.0,2026-07-09,ROUTINE
IN-C00005-SS,substation,Garacharma,Andaman and Nicobar,SR,11.61374,92.70358,132,25,7,43.7,0.996,33.8,,CLOSED,50/51 Overcurrent,0.935,97.3,10.5,0.9,2025-04-29,ROUTINE
IN-C00006-SS,substation,Prothrapur,Andaman and Nicobar,SR,11.61797,92.72442,132,25,11,43.3,0.977,30.4,,CLOSED,50/51 Overcurrent,0.945,89.2,13.3,3.6,2025-01-26,ROUTINE
IN-C00007-SS,substation,Bamboo Flat,Andaman and Nicobar,SR,11.7,92.71667,132,25,5,51.9,0.974,33.3,,CLOSED,50/51 Overcurrent,0.92,99.0,20.7,0.9,2025-07-29,ROUTINE
IN-C00008-SS,substation,Campbell Bay,Andaman and Nicobar,SR,7.00832,93.89419,132,25,11,46.6,0.982,29.9,,CLOSED,50/51 Overcurrent,0.934,89.2,18.3,3.3,2026-08-01,ROUTINE
IN-C00009-SS,substation,Bakultala,Andaman and Nicobar,SR,12.50399,92.8617,132,25,36,37.9,0.986,34.3,,CLOSED,50/51 Overcurrent,0.951,53.4,21.1,3.8,2025-12-25,HIGH
IN-C00010-SS,substation,North Sentinel Island,Andaman and Nicobar,SR,11.55807,92.24548,132,25,4,38.2,0.963,30.6,,CLOSED,50/51 Overcurrent,0.985,93.1,17.6,1.2,2025-05-19,ROUTINE
IN-C00011-SS,substation,Aberdeen,Andaman and Nicobar,SR,11.6677,92.73997,132,25,18,32.4,1.033,32.3,,CLOSED,50/51 Overcurrent,0.969,81.6,19.0,2.1,2026-01-23,ROUTINE
IN-C00012-SS,substation,Adazig,Andaman and Nicobar,SR,12.25937,92.79804,132,25,21,37.7,1.0,34.8,,CLOSED,50/51 Overcurrent,0.915,79.2,12.3,5.7,2025-06-02,ROUTINE
IN-C00013-SS,substation,Alipur,Andaman and Nicobar,SR,11.73108,92.67466,132,25,30,35.1,0.971,33.4,,CLOSED,50/51 Overcurrent,0.972,66.8,11.7,4.5,2026-06-25,MEDIUM
IN-C00014-SS,substation,Anowa,Andaman and Nicobar,SR,7.96059,93.55597,132,25,35,39.5,1.007,30.6,,CLOSED,50/51 Overcurrent,0.953,53.5,11.9,3.4,2026-06-09,HIGH
IN-C00015-SS,substation,Arainj-laka-punga,Andaman and Nicobar,SR,12.59976,92.71864,132,25,26,43.0,1.04,30.6,,CLOSED,50/51 Overcurrent,0.932,74.0,7.7,2.0,2025-05-04,MEDIUM
IN-C00016-SS,substation,Arong,Andaman and Nicobar,SR,9.16667,92.71667,132,25,32,33.3,0.964,27.0,,CLOSED,50/51 Overcurrent,0.926,64.0,22.6,1.1,2025-11-25,MEDIUM
IN-C00001-TR01,transformer,Port Blair,Andaman and Nicobar,SR,11.70372,92.72269,33,160,33,57.4,1.001,29.5,BANK-PORTBLAIR,CLOSED,87T Differential,0.917,59.8,12.0,2.9,2025-08-28,HIGH
IN-C00001-FD011,feeder,Port Blair,Andaman and Nicobar,SR,11.72422,92.72315,33,100,13,35.5,1.021,32.2,,CLOSED,50/51 Overcurrent,0.989,76.9,13.4,1.9,2025-10-02,MEDIUM
