scenario_id,initiating_node,timestamp,offset_minutes,load_pct,voltage_pu,frequency_hz,temperature_c,power_factor,breaker_state
IND-S00000,IN-C07868-GEN12,2026-08-01 03:50:00+00:00,-55,96.83,0.9743,49.782,63.72,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 03:55:00+00:00,-50,92.97,0.9699,49.779,61.44,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:00:00+00:00,-45,96.16,0.9638,49.783,63.99,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:05:00+00:00,-40,95.48,0.973,49.781,61.22,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:10:00+00:00,-35,95.67,0.9685,49.78,63.87,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:15:00+00:00,-30,96.09,0.9647,49.782,64.11,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:20:00+00:00,-25,93.09,0.9638,49.779,62.32,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:25:00+00:00,-20,90.81,0.9771,49.791,62.61,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:30:00+00:00,-15,98.81,0.9618,49.785,63.65,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:35:00+00:00,-10,97.69,0.9698,49.784,66.68,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:40:00+00:00,-5,101.01,0.962,49.779,64.31,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:45:00+00:00,0,97.89,0.9675,49.778,64.08,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:50:00+00:00,5,98.88,0.9604,49.778,65.57,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 04:55:00+00:00,10,100.77,0.9578,49.782,62.45,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:00:00+00:00,15,95.78,0.9667,49.775,62.23,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:05:00+00:00,20,94.99,0.9718,49.782,61.23,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:10:00+00:00,25,98.14,0.966,49.779,63.33,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:15:00+00:00,30,99.92,0.9579,49.782,66.94,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:20:00+00:00,35,96.68,0.9687,49.783,63.91,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:25:00+00:00,40,98.08,0.9657,49.775,66.53,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:30:00+00:00,45,104.18,0.9554,49.772,67.87,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:35:00+00:00,50,94.4,0.9684,49.773,62.15,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:40:00+00:00,55,100.46,0.9587,49.78,65.12,0.972,CLOSED
IND-S00000,IN-C07868-GEN12,2026-08-01 05:45:00+00:00,60,98.11,0.9661,49.773,65.78,0.972,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:20:00+00:00,-55,73.0,1.0039,49.953,56.51,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:25:00+00:00,-50,76.48,1.0007,49.95,58.81,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:30:00+00:00,-45,70.71,1.0049,49.948,57.21,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:35:00+00:00,-40,73.29,0.9967,49.95,57.65,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:40:00+00:00,-35,74.39,0.9983,49.941,60.04,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:45:00+00:00,-30,71.96,1.0003,49.949,56.04,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:50:00+00:00,-25,75.6,0.9957,49.946,59.44,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 05:55:00+00:00,-20,73.66,0.9935,49.941,56.68,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:00:00+00:00,-15,73.98,0.9976,49.95,56.25,0.963,CLOSED
IND-S00001,IN-TAM-HUB-GEN,2026-08-22 06:05:00+00:00,-10,74.88,0.9991,49.944,57.12,0.963,CLOSED
