city_id,city,state,lat,lon,population,feature_code,geonameid
IN-C00001,Port Blair,Andaman and Nicobar,11.66613,92.74635,112050,PPLA,1259385
IN-C00002,Diglipur,Andaman and Nicobar,13.26667,93.0,42877,PPL,1272607
IN-C00003,Rangat,Andaman and Nicobar,12.50595,92.9155,38824,PPL,11184472
IN-C00004,Māyābandar,Andaman and Nicobar,12.90954,92.90348,23912,PPL,1263259
IN-C00005,Garacharma,Andaman and Nicobar,11.61374,92.70358,14419,PPL,13156742
IN-C00006,Prothrapur,Andaman and Nicobar,11.61797,92.72442,10308,PPL,13156741
IN-C00007,Bamboo Flat,Andaman and Nicobar,11.7,92.71667,7962,PPL,1277476
IN-C00008,Campbell Bay,Andaman and Nicobar,7.00832,93.89419,5736,PPL,12524333
IN-C00009,Bakultala,Andaman and Nicobar,12.50399,92.8617,2741,PPL,13156740
IN-C00010,North Sentinel Island,Andaman and Nicobar,11.55807,92.24548,39,PPL,13546326
IN-C00011,Aberdeen,Andaman and Nicobar,11.6677,92.73997,0,PPL,1279412
IN-C00012,Adazig,Andaman and Nicobar,12.25937,92.79804,0,PPL,10175017
IN-C00013,Alipur,Andaman and Nicobar,11.73108,92.67466,0,PPL,1279009
IN-C00014,Anowa,Andaman and Nicobar,7.96059,93.55597,0,PPL,1278538
IN-C00015,Arainj-laka-punga,Andaman and Nicobar,12.59976,92.71864,0,PPL,1278475
IN-C00016,Arong,Andaman and Nicobar,9.16667,92.71667,0,PPL,1278363
IN-C00017,Rasapūdipalem,Andhra Pradesh,17.73308,83.31622,1728128,PPL,1258393
IN-C00018,Vijayawada,Andhra Pradesh,16.50745,80.6466,1143232,PPL,1253184
IN-C00019,Visakhapatnam,Andhra Pradesh,17.68009,83.20161,1063178,PPLA2,1253102
IN-C00020,Guntur,Andhra Pradesh,16.29974,80.45729,670073,PPL,1270668
IN-C00021,Nellore,Andhra Pradesh,14.44992,79.98697,547621,PPLA2,1261529
IN-C00022,Kurnool,Andhra Pradesh,15.82887,78.03602,460184,PPL,1265491
IN-C00023,Kākināda,Andhra Pradesh,16.96036,82.23809,384182,PPL,1268561
IN-C00024,Rajamahendravaram,Andhra Pradesh,17.00517,81.77784,376333,PPL,1258932
IN-C00025,Kadapa,Andhra Pradesh,14.47995,78.82346,344893,PPL,1273800
IN-C00026,Tirupati,Andhra Pradesh,13.63551,79.41989,295323,PPL,1254360
IN-C00027,Anantapur,Andhra Pradesh,14.67784,77.60813,267161,PPL,1278672
IN-C00028,Gajuwaka,Andhra Pradesh,17.7,83.21667,258944,PPL,7302833
IN-C00029,Vizianagaram,Andhra Pradesh,18.11692,83.41148,228720,PPLA2,1253084
IN-C00030,Eluru,Andhra Pradesh,16.71311,81.10437,218020,PPLA2,1272051
IN-C00031,Nandyāl,Andhra Pradesh,15.47799,78.4836,211424,PPL,1261927
IN-C00032,Ongole,Andhra Pradesh,15.50357,80.04454,208344,PPL,1261045
IN-C00033,Machilīpatnam,Andhra Pradesh,16.18747,81.13888,192827,PPL,1264637
IN-C00034,Adoni,Andhra Pradesh,15.62788,77.27495,184625,PPL,1279335
IN-C00035,Madanapalle,Andhra Pradesh,13.5503,78.50288,180180,PPL,1264621
IN-C00036,Proddatūr,Andhra Pradesh,14.7502,78.54813,177797,PPL,1259312
IN-C00037,Thenali,Andhra Pradesh,16.24253,80.63982,164937,PPLA3,1254757
IN-C00038,Chittoor,Andhra Pradesh,13.21055,79.0956,160722,PPLA2,1274033
IN-C00039,Hindupur,Andhra Pradesh,13.82807,77.49143,151677,PPL,1270079
IN-C00040,Bhimavaram,Andhra Pradesh,16.54078,81.52322,146961,PPL,1275947
