scenario_id,scenario_type,grid_id,initiating_node,initiating_type,initiating_city,initiating_state,stress_multiplier,load_multiplier,weather_factor,n_line_outages,subgraph_nodes,n_steps,cascade_size,cascade_risk_pct,unserved_energy_frac,population_affected,powerflow_failures,n_failed_in_subgraph,cascade_path,cascade_path_steps,split
IND-S00000,heatwave,india_national_20k,IN-C07868-GEN12,generator,Murwāra,Madhya Pradesh,3.2172,1.3592,1.0932,1,43,1,0,8.52,0.0,0,0,0,,,train
IND-S00001,heatwave,india_national_20k,IN-TAM-HUB-GEN,generator,Tamil Nadu Hub Generation,Tamil Nadu,1.7562,1.2851,1.1319,2,260,2,2,8.47,0.0,1000,0,0,IN-C18129-SS|IN-C18527-SS,0|0,train
IND-S00002,cascade_emergency,india_national_20k,IN-C09284-SS,substation,Nagpur,Maharashtra,5.1362,1.4664,1.0583,4,159,5,52,9.97,0.01115,14406554,0,5,IN-WR-HUB|IN-SR-HUB|IN-MAH-HUB|IN-C09284-SS|IN-C09377-SS|IN-NER-HUB|IN-C11034-SS|IN-C11047-SS|IN-C01444-SS|IN-C10290-SS|IN-C10346-SS|IN-C10353-SS,0|0|0|0|0|1|1|1|2|2|2|2,train
IND-S00003,cascade_emergency,india_national_20k,IN-C15576-FD011,feeder,Sambhal,Uttar Pradesh,7.8919,1.3584,1.1107,2,6,6,21,9.18,0.0068,11899325,0,4,IN-C15576-SS|IN-C15576-TR01|IN-C15576-FD011|IN-UTT-HUB|IN-TAM-HUB|IN-C12372-SS|IN-C12378-SS|IN-C12392-SS|IN-C19433-SS|IN-C19438-SS|IN-C19462-SS|IN-C19475-SS,0|0|0|0|1|1|1|1|1|1|1|1,train
IND-S00004,high_demand,india_national_20k,IN-C12365-FD011,feeder,Kāraikkudi,Tamil Nadu,2.9513,1.3477,1.0496,0,6,2,4,8.49,0.00137,181851,0,4,IN-TAM-HUB|IN-C12365-SS|IN-C12365-TR01|IN-C12365-FD011,0|0|0|0,train
IND-S00005,line_outage,india_national_20k,IN-C03285-FD021,feeder,Jamnagar,Gujarat,1.3689,1.1427,1.0136,3,8,1,0,0.01,0.0,0,0,0,,,train
IND-S00006,heatwave,india_national_20k,IN-C05532-FD011,feeder,Mysuru,Karnataka,3.1645,1.3914,1.1342,2,8,2,3,8.85,0.00397,920550,0,3,IN-C05532-SS|IN-C05532-TR01|IN-C05532-FD011,0|0|0,test
IND-S00007,transformer_overload,india_national_20k,IN-C03324-FD011,feeder,Kundla,Gujarat,2.0294,1.2361,1.0532,0,5,2,5,0.14,0.0005,172244,0,5,IN-C03323-SS|IN-C03324-SS|IN-C03472-SS|IN-C03324-TR01|IN-C03324-FD011,0|0|0|0|0,train
IND-S00008,heatwave,india_national_20k,IN-C09502-SS,substation,Chāndor,Maharashtra,2.6375,1.1919,1.096,2,7,2,1,0.04,0.00016,25341,0,1,IN-C09502-SS,0,train
IND-S00009,high_demand,india_national_20k,IN-C12344-GEN05,generator,Tirunelveli,Tamil Nadu,2.4521,1.4161,1.0647,0,79,5,27,9.1,0.00205,1837710,0,3,IN-SR-HUB|IN-TAM-HUB|IN-C12344-SS|IN-NER-HUB|IN-C11034-SS|IN-C11047-SS|IN-C01444-SS|IN-C10290-SS|IN-C10346-SS|IN-C10353-SS|IN-C10360-SS|IN-C10362-SS,0|0|0|1|1|1|2|2|2|2|2|2,train
IND-S00010,transformer_overload,india_national_20k,IN-C00044-FD011,feeder,Gudivāda,Andhra Pradesh,3.7469,1.0644,1.0327,1,5,1,0,0.0,0.0,0,0,0,,,test
IND-S00011,transformer_overload,india_national_20k,IN-C01123-FD011,feeder,Nagaon,Assam,3.1255,1.0881,1.053,1,7,1,0,0.0,0.0,0,0,0,,,val
