scenario_id,scenario_type,initiating_node,initiating_city,initiating_state,cascade_risk_pct,stress_multiplier,load_multiplier,weather_factor,population_affected,assessment_timestamp,frequency_hz,power_factor,ambient_temp_c,rainfall_mm_hr,wind_kph,lightning_risk,humidity_pct,breaker_state,protection_event,fault_type,restoration_action
IND-S00000,heatwave,IN-C07868-GEN12,Murwāra,Madhya Pradesh,8.52,3.2172,1.3592,1.0932,0,2026-08-01 04:45:00+00:00,49.785,0.972,36.1,2.02,27.9,0.607,70.5,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00001,heatwave,IN-TAM-HUB-GEN,Tamil Nadu Hub Generation,Tamil Nadu,8.47,1.7562,1.2851,1.1319,1000,2026-08-22 06:15:00+00:00,49.949,0.963,35.4,4.67,26.9,0.534,65.5,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00002,cascade_emergency,IN-C09284-SS,Nagpur,Maharashtra,9.97,5.1362,1.4664,1.0583,14406554,2026-08-09 23:45:00+00:00,49.65,0.964,36.6,1.75,19.6,0.29,64.1,CLOSED,No protection operation,demand stress,No restoration required
IND-S00003,cascade_emergency,IN-C15576-FD011,Sambhal,Uttar Pradesh,9.18,7.8919,1.3584,1.1107,11899325,2026-08-01 16:10:00+00:00,49.65,0.99,39.7,2.45,17.5,0.37,57.8,CLOSED,No protection operation,demand stress,No restoration required
IND-S00004,high_demand,IN-C12365-FD011,Kāraikkudi,Tamil Nadu,8.49,2.9513,1.3477,1.0496,181851,2026-08-22 21:45:00+00:00,49.768,0.979,31.6,2.01,22.6,0.275,57.1,CLOSED,No protection operation,demand stress,No restoration required
IND-S00005,line_outage,IN-C03285-FD021,Jamnagar,Gujarat,0.01,1.3689,1.1427,1.0136,0,2026-08-29 15:45:00+00:00,49.972,0.99,34.3,0.87,18.9,0.299,67.0,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00006,heatwave,IN-C05532-FD011,Mysuru,Karnataka,8.85,3.1645,1.3914,1.1342,920550,2026-08-03 11:55:00+00:00,49.743,0.99,33.4,2.71,21.9,0.541,59.1,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00007,transformer_overload,IN-C03324-FD011,Kundla,Gujarat,0.14,2.0294,1.2361,1.0532,172244,2026-08-10 04:40:00+00:00,49.885,0.963,35.5,1.6,16.4,0.191,62.8,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00008,heatwave,IN-C09502-SS,Chāndor,Maharashtra,0.04,2.6375,1.1919,1.096,25341,2026-08-31 21:05:00+00:00,49.801,0.985,35.6,3.98,16.6,0.697,73.8,CLOSED,No protection operation,thermal derating,No restoration required
IND-S00009,high_demand,IN-C12344-GEN05,Tirunelveli,Tamil Nadu,9.1,2.4521,1.4161,1.0647,1837710,2026-08-13 11:10:00+00:00,49.846,0.983,36.3,1.75,22.4,0.463,79.6,CLOSED,No protection operation,demand stress,No restoration required
IND-S00010,transformer_overload,IN-C00044-FD011,Gudivāda,Andhra Pradesh,0.0,3.7469,1.0644,1.0327,0,2026-08-17 21:30:00+00:00,49.721,0.982,32.6,2.11,10.2,0.121,68.8,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00011,transformer_overload,IN-C01123-FD011,Nagaon,Assam,0.0,3.1255,1.0881,1.053,0,2026-08-16 13:00:00+00:00,49.779,0.99,31.1,0.98,15.0,0.325,72.9,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00012,high_demand,IN-C12351-GEN12,Thoothukudi,Tamil Nadu,9.1,2.4965,1.3719,1.0851,530796,2026-08-18 20:10:00+00:00,49.868,0.964,30.1,2.15,22.5,0.5,63.0,CLOSED,No protection operation,demand stress,No restoration required
IND-S00013,normal_operation,IN-C01376-GEN03,Bhāgalpur,Bihar,0.0,1.1445,0.9424,0.9865,0,2026-08-11 22:00:00+00:00,50.004,0.985,37.0,0.1,20.7,0.253,78.9,CLOSED,No protection operation,demand stress,No restoration required
IND-S00014,line_outage,IN-C03175-FD011,Madgaon,Goa,0.0,2.1052,1.1338,1.0229,0,2026-08-14 10:50:00+00:00,49.887,0.983,32.6,1.18,13.7,0.068,75.1,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00015,transformer_overload,IN-PUN-HUB-GEN,Punjab Hub Generation,Punjab,0.0,3.4473,1.0263,1.0094,0,2026-08-05 23:45:00+00:00,49.727,0.977,31.8,0.39,21.3,0.284,70.7,CLOSED,87T differential alarm,thermal overload,No restoration required
IND-S00016,cascade_emergency,IN-C12777-SS,Bargūr,Tamil Nadu,38.23,5.3293,1.5908,1.1512,77698907,2026-08-03 15:00:00+00:00,49.65,0.951,36.7,3.34,22.4,0.526,56.6,CLOSED,No protection operation,demand stress,No restoration required
IND-S00017,line_outage,IN-C03280-GEN01,Ahmedabad,Gujarat,0.15,1.5977,1.1738,1.0106,6357693,2026-08-21 14:40:00+00:00,49.915,0.979,36.8,0.3,16.3,0.369,60.0,CLOSED,21 Distance relay operated,line fault,No restoration required
IND-S00018,high_demand,IN-C10425-FD021,Bhubaneswar,Odisha,0.18,2.4748,1.2753,1.0533,885363,2026-08-04 18:10:00+00:00,49.858,0.955,36.2,1.59,20.7,0.285,62.3,CLOSED,No protection operation,demand stress,No restoration required
IND-S00019,normal_operation,IN-C09289-FD021,Kalyān,Maharashtra,0.0,1.066,0.8789,0.9841,0,2026-08-09 06:15:00+00:00,50.024,0.985,36.0,4.68,16.5,0.204,61.2,CLOSED,No protection operation,demand stress,No restoration required
IND-S00020,high_demand,IN-C03280-FD021,Ahmedabad,Gujarat,8.52,2.8877,1.4243,1.0477,0,2026-08-12 18:15:00+00:00,49.809,0.95,37.6,0.95,22.6,0.145,53.4,CLOSED,No protection operation,demand stress,No restoration required
