scenario_id,initiating_city,initiating_state,cascade_risk_pct,topology_structure,transformers_before,transformers_after,reserve_margin_pct,n_minus_1_secure,estimated_loss_reduction_pct,estimated_capex_reduction_pct,dispatch_action
IND-S00000,Murwāra,Madhya Pradesh,8.52,ring-main,15,13,22.5,False,4.24,11.16,Reconfigure ties; balance 13 transformer banks
IND-S00001,Tamil Nadu Hub Generation,Tamil Nadu,8.47,double-bus,15,13,18.2,True,2.38,11.63,Reconfigure ties; balance 13 transformer banks
IND-S00002,Nagpur,Maharashtra,9.97,meshed-N-1,15,13,21.6,True,3.49,12.36,Reconfigure ties; balance 13 transformer banks
IND-S00003,Sambhal,Uttar Pradesh,9.18,radial-spur,15,13,25.4,False,3.27,11.02,Reconfigure ties; balance 13 transformer banks
IND-S00004,Kāraikkudi,Tamil Nadu,8.49,parallel-bank,15,13,20.1,True,2.01,12.91,Reconfigure ties; balance 13 transformer banks
IND-S00005,Jamnagar,Gujarat,0.01,sectionalized-ring,15,13,23.4,True,4.07,11.57,Reconfigure ties; balance 13 transformer banks
IND-S00006,Mysuru,Karnataka,8.85,ring-main,15,13,23.6,False,4.78,12.21,Reconfigure ties; balance 13 transformer banks
IND-S00007,Kundla,Gujarat,0.14,double-bus,15,13,13.6,True,4.7,10.73,Reconfigure ties; balance 13 transformer banks
IND-S00008,Chāndor,Maharashtra,0.04,meshed-N-1,15,13,20.7,True,2.89,11.81,Reconfigure ties; balance 13 transformer banks
IND-S00009,Tirunelveli,Tamil Nadu,9.1,radial-spur,15,13,20.4,False,4.05,9.72,Reconfigure ties; balance 13 transformer banks
IND-S00010,Gudivāda,Andhra Pradesh,0.0,parallel-bank,15,13,24.0,True,3.47,12.04,Reconfigure ties; balance 13 transformer banks
IND-S00011,Nagaon,Assam,0.0,sectionalized-ring,15,13,24.3,True,2.98,11.58,Reconfigure ties; balance 13 transformer banks
IND-S00012,Thoothukudi,Tamil Nadu,9.1,ring-main,15,13,17.5,False,3.65,12.92,Reconfigure ties; balance 13 transformer banks
IND-S00013,Bhāgalpur,Bihar,0.0,double-bus,15,13,20.5,True,5.06,11.12,Reconfigure ties; balance 13 transformer banks
IND-S00014,Madgaon,Goa,0.0,meshed-N-1,15,13,25.0,True,4.55,12.04,Reconfigure ties; balance 13 transformer banks
IND-S00015,Punjab Hub Generation,Punjab,0.0,radial-spur,15,13,22.1,False,4.96,10.57,Reconfigure ties; balance 13 transformer banks
IND-S00016,Bargūr,Tamil Nadu,38.23,parallel-bank,15,13,24.6,True,4.11,11.41,Reconfigure ties; balance 13 transformer banks
IND-S00017,Ahmedabad,Gujarat,0.15,sectionalized-ring,15,13,18.5,True,3.74,11.67,Reconfigure ties; balance 13 transformer banks
IND-S00018,Bhubaneswar,Odisha,0.18,ring-main,15,13,23.5,False,4.29,10.93,Reconfigure ties; balance 13 transformer banks
IND-S00019,Kalyān,Maharashtra,0.0,double-bus,15,13,27.1,True,4.04,11.41,Reconfigure ties; balance 13 transformer banks
IND-S00020,Ahmedabad,Gujarat,8.52,meshed-N-1,15,13,22.7,True,4.05,11.62,Reconfigure ties; balance 13 transformer banks
IND-S00021,Kolkata,West Bengal,0.0,radial-spur,15,13,20.2,False,4.23,11.3,Reconfigure ties; balance 13 transformer banks
IND-S00022,Nashik,Maharashtra,0.14,parallel-bank,15,13,25.7,True,3.85,11.69,Reconfigure ties; balance 13 transformer banks
IND-S00023,Nellore,Andhra Pradesh,0.12,sectionalized-ring,15,13,19.6,True,4.73,10.5,Reconfigure ties; balance 13 transformer banks
IND-S00024,Gangāpur,Rajasthan,0.0,ring-main,15,13,15.8,False,3.36,13.37,Reconfigure ties; balance 13 transformer banks
IND-S00025,Faridabad,Haryana,11.3,double-bus,15,13,17.4,True,4.92,12.48,Reconfigure ties; balance 13 transformer banks
IND-S00026,Kolkata,West Bengal,0.0,meshed-N-1,15,13,27.2,True,3.06,10.89,Reconfigure ties; balance 13 transformer banks
IND-S00027,Kadapa,Andhra Pradesh,0.05,radial-spur,15,13,20.3,False,5.74,12.27,Reconfigure ties; balance 13 transformer banks
IND-S00028,Mau,Uttar Pradesh,9.0,parallel-bank,15,13,19.9,True,5.27,12.58,Reconfigure ties; balance 13 transformer banks
IND-S00029,Kochi,Kerala,8.68,sectionalized-ring,15,13,21.7,True,5.27,11.08,Reconfigure ties; balance 13 transformer banks
IND-S00030,Faridabad,Haryana,11.46,ring-main,15,13,18.5,False,4.14,11.38,Reconfigure ties; balance 13 transformer banks
IND-S00031,Erode,Tamil Nadu,0.01,double-bus,15,13,19.3,True,2.46,9.64,Reconfigure ties; balance 13 transformer banks
IND-S00032,Najafgarh,Delhi,0.18,meshed-N-1,15,13,15.4,True,2.27,12.08,Reconfigure ties; balance 13 transformer banks
IND-S00033,Nowrangapur,Odisha,8.9,radial-spur,15,13,25.6,False,3.25,11.45,Reconfigure ties; balance 13 transformer banks
IND-S00034,Raja Pur Khurd,Delhi,0.0,parallel-bank,15,13,18.0,True,4.25,11.22,Reconfigure ties; balance 13 transformer banks
IND-S00035,Kolkata,West Bengal,9.02,sectionalized-ring,15,13,19.8,True,3.33,10.02,Reconfigure ties; balance 13 transformer banks
IND-S00036,Karauli,Rajasthan,0.0,ring-main,15,13,24.5,False,1.85,12.61,Reconfigure ties; balance 13 transformer banks
IND-S00037,Loni,Uttar Pradesh,9.26,double-bus,15,13,18.4,True,4.07,11.74,Reconfigure ties; balance 13 transformer banks
IND-S00038,Bhilai,Chhattisgarh,0.0,meshed-N-1,15,13,14.2,True,3.75,11.57,Reconfigure ties; balance 13 transformer banks
IND-S00039,Makhu,Punjab,8.66,radial-spur,15,13,20.2,False,4.38,12.32,Reconfigure ties; balance 13 transformer banks
IND-S00040,Bikaner,Rajasthan,0.13,parallel-bank,15,13,19.1,True,4.85,11.63,Reconfigure ties; balance 13 transformer banks
IND-S00041,Pāndātarai,Chhattisgarh,8.46,sectionalized-ring,15,13,25.3,True,3.68,11.64,Reconfigure ties; balance 13 transformer banks
IND-S00042,Delhi,Delhi,0.77,ring-main,15,13,19.4,False,4.03,11.01,Reconfigure ties; balance 13 transformer banks
IND-S00043,Nellore,Andhra Pradesh,0.0,double-bus,15,13,23.7,True,3.36,10.88,Reconfigure ties; balance 13 transformer banks
IND-S00044,Coimbatore,Tamil Nadu,8.46,meshed-N-1,15,13,23.1,True,5.31,10.79,Reconfigure ties; balance 13 transformer banks
IND-S00045,Aichana,Uttar Pradesh,8.47,radial-spur,15,13,15.8,False,4.69,10.45,Reconfigure ties; balance 13 transformer banks
IND-S00046,Andhra Pradesh Hub Generation,Andhra Pradesh,0.0,parallel-bank,15,13,23.3,True,4.0,12.05,Reconfigure ties; balance 13 transformer banks
IND-S00047,Kithor,Uttar Pradesh,0.0,sectionalized-ring,15,13,25.5,True,4.91,10.52,Reconfigure ties; balance 13 transformer banks
IND-S00048,Atātia,Rajasthan,0.0,ring-main,15,13,19.1,False,3.37,11.85,Reconfigure ties; balance 13 transformer banks
IND-S00049,Indore,Madhya Pradesh,0.0,double-bus,15,13,17.6,True,2.77,12.28,Reconfigure ties; balance 13 transformer banks
IND-S00050,Bengaluru,Karnataka,0.0,meshed-N-1,15,13,19.6,True,4.66,11.2,Reconfigure ties; balance 13 transformer banks
IND-S00051,Hubballi,Karnataka,0.01,radial-spur,15,13,27.3,False,2.25,10.78,Reconfigure ties; balance 13 transformer banks
IND-S00052,Ahmedabad,Gujarat,9.84,parallel-bank,15,13,22.1,True,4.64,11.17,Reconfigure ties; balance 13 transformer banks
IND-S00053,Begusarai,Bihar,0.12,sectionalized-ring,15,13,14.0,True,3.73,11.76,Reconfigure ties; balance 13 transformer banks
IND-S00054,Hyderabad,Telangana,34.15,ring-main,15,13,25.3,False,2.53,12.49,Reconfigure ties; balance 13 transformer banks
IND-S00055,Tsrār Sharīf,Jammu and Kashmir,8.54,double-bus,15,13,19.6,True,4.59,10.45,Reconfigure ties; balance 13 transformer banks
IND-S00056,Aizawl,Mizoram,9.44,meshed-N-1,15,13,25.9,True,4.71,10.29,Reconfigure ties; balance 13 transformer banks
IND-S00057,Kāraikāl,Puducherry,0.08,radial-spur,15,13,12.6,False,3.73,11.93,Reconfigure ties; balance 13 transformer banks
IND-S00058,Belagavi,Karnataka,8.62,parallel-bank,15,13,24.3,True,4.58,11.95,Reconfigure ties; balance 13 transformer banks
IND-S00059,Mangaluru,Karnataka,0.0,sectionalized-ring,15,13,24.3,True,3.0,12.64,Reconfigure ties; balance 13 transformer banks
IND-S00060,Uttarakhand Hub Generation,Uttarakhand,8.46,ring-main,15,13,20.6,False,1.42,11.13,Reconfigure ties; balance 13 transformer banks
IND-S00061,Āmlāgora,West Bengal,11.49,double-bus,15,13,14.3,True,3.86,12.06,Reconfigure ties; balance 13 transformer banks
IND-S00062,Pollachi,Tamil Nadu,8.54,meshed-N-1,15,13,26.9,True,5.01,12.59,Reconfigure ties; balance 13 transformer banks
IND-S00063,Indāpur,Maharashtra,0.0,radial-spur,15,13,22.2,False,2.72,11.03,Reconfigure ties; balance 13 transformer banks
IND-S00064,Āsansol,West Bengal,0.02,parallel-bank,15,13,24.6,True,4.4,10.47,Reconfigure ties; balance 13 transformer banks
IND-S00065,West Bengal Hub Generation,West Bengal,0.0,sectionalized-ring,15,13,23.7,True,4.18,11.74,Reconfigure ties; balance 13 transformer banks
IND-S00066,Proddatūr,Andhra Pradesh,8.85,ring-main,15,13,23.1,False,4.45,10.8,Reconfigure ties; balance 13 transformer banks
IND-S00067,Husainpur,Punjab,0.0,double-bus,15,13,17.8,True,1.63,10.69,Reconfigure ties; balance 13 transformer banks
IND-S00068,Hyderabad,Telangana,0.0,meshed-N-1,15,13,29.5,True,4.16,11.12,Reconfigure ties; balance 13 transformer banks
IND-S00069,Nellore,Andhra Pradesh,8.67,radial-spur,15,13,28.2,False,4.48,11.76,Reconfigure ties; balance 13 transformer banks
IND-S00070,Salem,Tamil Nadu,0.0,parallel-bank,15,13,14.1,True,3.95,11.81,Reconfigure ties; balance 13 transformer banks
IND-S00071,Donkamokam,Assam,0.0,sectionalized-ring,15,13,21.2,True,3.1,11.64,Reconfigure ties; balance 13 transformer banks
IND-S00072,Bihār Sharīf,Bihar,0.0,ring-main,15,13,26.7,False,3.71,11.42,Reconfigure ties; balance 13 transformer banks
IND-S00073,Rāwatsār,Rajasthan,8.44,double-bus,15,13,26.3,True,3.8,11.74,Reconfigure ties; balance 13 transformer banks
IND-S00074,Arumanai,Tamil Nadu,8.69,meshed-N-1,15,13,20.8,True,3.66,10.38,Reconfigure ties; balance 13 transformer banks
IND-S00075,Indore,Madhya Pradesh,0.09,radial-spur,15,13,18.7,False,2.86,12.4,Reconfigure ties; balance 13 transformer banks
IND-S00076,Ujjain,Madhya Pradesh,0.26,parallel-bank,15,13,22.5,True,4.87,11.58,Reconfigure ties; balance 13 transformer banks
IND-S00077,Vidisha,Madhya Pradesh,0.0,sectionalized-ring,15,13,15.8,True,4.82,11.5,Reconfigure ties; balance 13 transformer banks
IND-S00078,Suchindram,Tamil Nadu,8.6,ring-main,15,13,28.8,False,1.96,12.31,Reconfigure ties; balance 13 transformer banks
IND-S00079,Kalyān,Maharashtra,9.5,double-bus,15,13,20.6,True,4.08,11.39,Reconfigure ties; balance 13 transformer banks
IND-S00080,Prayagraj,Uttar Pradesh,10.55,meshed-N-1,15,13,22.7,True,5.64,12.5,Reconfigure ties; balance 13 transformer banks
IND-S00081,Rāj-Nāndgaon,Chhattisgarh,0.0,radial-spur,15,13,28.0,False,5.0,11.53,Reconfigure ties; balance 13 transformer banks
IND-S00082,Ahmedabad,Gujarat,0.35,parallel-bank,15,13,16.1,True,3.5,12.41,Reconfigure ties; balance 13 transformer banks
IND-S00083,Asanda,Uttar Pradesh,8.65,sectionalized-ring,15,13,23.8,True,3.96,11.48,Reconfigure ties; balance 13 transformer banks
IND-S00084,Hubballi,Karnataka,8.82,ring-main,15,13,17.1,False,3.21,12.36,Reconfigure ties; balance 13 transformer banks
IND-S00085,Shirpur,Maharashtra,0.0,double-bus,15,13,12.0,True,4.69,11.8,Reconfigure ties; balance 13 transformer banks
IND-S00086,Kosi,Uttar Pradesh,0.0,meshed-N-1,15,13,16.4,True,5.29,11.08,Reconfigure ties; balance 13 transformer banks
IND-S00087,Chennai,Tamil Nadu,0.0,radial-spur,15,13,25.2,False,3.38,11.79,Reconfigure ties; balance 13 transformer banks
IND-S00088,Lucknow,Uttar Pradesh,0.14,parallel-bank,15,13,24.6,True,3.72,11.89,Reconfigure ties; balance 13 transformer banks
IND-S00089,Rourkela,Odisha,0.09,sectionalized-ring,15,13,15.5,True,3.34,12.28,Reconfigure ties; balance 13 transformer banks
IND-S00090,Jorhat,Assam,8.58,ring-main,15,13,20.7,False,1.5,11.78,Reconfigure ties; balance 13 transformer banks
IND-S00091,Akbarpurkot,Uttar Pradesh,10.44,double-bus,15,13,18.3,True,2.72,11.54,Reconfigure ties; balance 13 transformer banks
IND-S00092,Virār,Maharashtra,0.09,meshed-N-1,15,13,18.9,True,4.34,11.12,Reconfigure ties; balance 13 transformer banks
IND-S00093,Tirupati,Andhra Pradesh,0.13,radial-spur,15,13,25.0,False,3.48,11.93,Reconfigure ties; balance 13 transformer banks
IND-S00094,Jaggayyapeta,Andhra Pradesh,8.66,parallel-bank,15,13,21.6,True,4.41,11.48,Reconfigure ties; balance 13 transformer banks
IND-S00095,Pune,Maharashtra,11.44,sectionalized-ring,15,13,26.5,True,4.27,10.83,Reconfigure ties; balance 13 transformer banks
IND-S00096,Lucknow,Uttar Pradesh,8.82,ring-main,15,13,27.0,False,2.29,11.02,Reconfigure ties; balance 13 transformer banks
IND-S00097,Kolkata,West Bengal,12.19,double-bus,15,13,21.1,True,3.81,10.61,Reconfigure ties; balance 13 transformer banks
IND-S00098,Howrah,West Bengal,0.24,meshed-N-1,15,13,20.0,True,5.88,10.28,Reconfigure ties; balance 13 transformer banks
IND-S00099,Lal Bahadur Nagar,Telangana,8.74,radial-spur,15,13,22.1,False,4.5,11.55,Reconfigure ties; balance 13 transformer banks
